Ticker,Current Assets,Quick Ratio,Debt To Equity Ratio,Total Debt To Total Capitalization Ratio,Debt To Assets Ratio,Net Debt To Equity Ratio,Return On Equity,Return On Assets,Return On Investment,Gross Profit Margin,Asset Turnover,Inventory Turnover,Receivables Turnover,GDP,Inflation,Unemployment,CCI
HOLX,0.94558,0.95462,0.93589,0.94744,0.93051,0.97175,0.90504,0.84576,0.85248,0.78609,0.77234,0.87463,0.89075,0.25765,0.29074,0.24412,0.20749
HON,0.93041,0.90764,0.64949,0.70379,0.68601,0.85914,0.82061,0.78135,0.83848,0.91231,0.95341,0.75982,0.6585,0.24707,0.23052,0.27068,0.25173
HPE,0.81342,0.91583,0.81003,0.78542,0.88985,0.86963,0.65445,0.66373,0.70405,0.84234,0.81298,0.81587,0.69154,0.24308,0.23496,0.27408,0.24788
HPQ,0.90793,0.90602,0.80921,0.92808,0.92893,0.84044,0.69526,0.78968,0.87085,0.696,0.81618,0.83879,0.92947,0.23738,0.23295,0.26798,0.26169
HRL,0.67989,0.64205,0.86487,0.70408,0.86429,0.82758,0.69886,0.70596,0.76525,0.57692,0.67541,0.83453,0.84809,0.26745,0.23613,0.2482,0.24821
HSIC,0.77892,0.59195,0.81683,0.87743,0.86844,0.8721,0.74326,0.74912,0.77873,0.91345,0.70116,0.82308,0.69525,0.24353,0.25227,0.25646,0.24775
HST,0.94023,1.0,0.95298,0.91516,0.9704,0.75208,0.93205,0.94628,0.94519,0.89163,0.94459,1.0,1.0,0.19177,0.18002,0.1985,0.19893
HSY,0.85484,0.87565,0.93746,0.74984,0.94474,0.90509,0.90941,0.91608,0.95464,0.85166,0.94151,0.80337,0.84956,0.21192,0.23625,0.25826,0.29357
HUBB,0.64486,0.67243,0.72074,0.68743,0.62599,0.64652,0.95321,0.97797,0.95725,0.83857,0.79027,0.75579,0.77344,0.2314,0.23284,0.2478,0.28796
HUM,1.0,1.0,0.76686,0.82199,0.75427,0.86369,0.87984,0.86385,0.8554,1.0,0.7343,1.0,0.70719,0.17017,0.16554,0.19842,0.15819
HWM,0.79241,0.86943,0.86786,0.90698,0.84497,0.7795,0.90086,0.91677,0.91829,0.82978,0.92764,0.85021,0.93788,0.26048,0.24896,0.27508,0.21548
IBM,0.61872,0.64268,0.92672,0.91648,0.87242,0.95299,0.6189,0.64724,0.76699,0.78615,0.90376,0.8328,0.72225,0.20768,0.22368,0.22376,0.34488
ICE,0.76867,1.0,0.76883,0.66685,0.70994,0.72458,0.82584,0.75426,0.86701,0.79043,0.71142,1.0,0.8231,0.173,0.19411,0.18682,0.29222
IDXX,0.77341,0.78242,0.61217,0.60753,0.55201,0.64575,0.7377,0.76929,0.89304,0.93258,0.7727,0.9635,0.73919,0.21481,0.22396,0.23056,0.33067
IEX,0.90663,0.94931,0.70434,0.58771,0.72954,0.94111,0.88817,0.94723,0.92352,0.83178,0.8802,0.73225,0.81799,0.1914,0.20949,0.21309,0.38603
IFF,0.69985,0.71474,0.71817,0.71235,0.73665,0.83501,0.95168,0.96319,0.96136,0.87787,0.71482,0.90805,0.89497,0.22216,0.21413,0.26501,0.29869
INCY,0.74024,0.76269,0.89754,0.90466,0.93267,1.0,0.73053,0.75541,0.65833,0.93458,0.91868,0.92664,0.75968,0.19758,0.21117,0.21848,0.29585
INTC,0.95481,0.90656,0.75028,0.70353,0.73418,0.70226,0.93866,0.93529,0.907,0.9506,0.94301,0.97253,0.85178,0.24651,0.21009,0.26329,0.28011
INTU,0.6966,1.0,0.7692,0.7894,0.7868,0.694,0.5904,0.7766,0.726,0.662,0.7868,1.0,0.6894,0.20305,0.21626,0.23746,0.18939
INVH,0.58214,1.0,0.79881,0.82837,0.78245,0.86205,0.85596,0.93746,0.92736,0.72236,0.94796,1.0,0.96941,0.18235,0.2001,0.20093,0.26277
IPG,0.88429,1.0,0.86924,0.89132,0.87781,0.81669,0.93105,0.85281,0.91346,0.86622,0.82624,1.0,0.66887,0.19418,0.19681,0.20568,0.24948
IP,0.67547,0.76667,0.85887,0.77049,0.86709,0.71659,0.66118,0.68134,0.74222,0.87963,0.90983,0.85707,0.67513,0.22891,0.22369,0.25402,0.29339
IQV,0.83755,1.0,0.96735,0.86946,0.75915,0.97886,0.90512,0.89632,0.87203,0.91019,0.84323,1.0,0.7312,0.20846,0.19335,0.21879,0.22555
IRM,0.96388,1.0,0.81939,0.8599,0.8947,0.85382,0.79649,0.73668,0.77192,0.89779,0.87643,1.0,0.94294,0.21748,0.22762,0.20176,0.19928
IR,0.90479,0.93084,0.95646,0.9558,0.95372,0.92316,0.90795,0.8798,0.92737,0.89568,0.93025,0.83222,0.85353,0.23878,0.23178,0.28451,0.24493
ISRG,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
ITW,0.93253,0.9119,0.79676,0.95332,0.7261,0.95234,0.95307,0.94352,0.93635,0.75327,0.94836,0.73475,0.72241,0.24044,0.24624,0.26218,0.25114
IT,0.68075,1.0,0.69952,0.74409,0.66451,0.62479,0.71398,0.91004,0.87195,0.67775,0.93905,1.0,0.89323,0.20825,0.2108,0.19044,0.23667
IVZ,0.90564,1.0,0.82286,0.85131,0.81216,0.885,0.78641,0.76023,0.79251,0.77124,0.75152,1.0,0.73897,0.19477,0.19154,0.21233,0.24751
JBHT,0.75724,0.81384,0.90688,0.92615,0.86748,0.67133,0.68743,0.67917,0.70121,0.95687,0.72117,0.82226,0.93323,0.24658,0.241,0.22916,0.28325
JBL,0.71453,0.66749,0.89771,0.75474,0.96712,0.8585,0.81883,0.90131,0.83829,0.7974,0.79038,0.76863,0.7499,0.19957,0.23183,0.23439,0.33422
JCI,0.90062,0.91885,0.92339,0.9251,0.93687,0.92888,0.84744,0.83872,0.79091,0.67588,0.93796,0.9182,0.94345,0.23388,0.2343,0.27667,0.25515
JKHY,0.88606,1.0,0.71509,0.77254,0.74452,0.79802,0.66892,0.68888,0.79296,0.88581,0.61712,1.0,0.77267,0.19118,0.20487,0.21113,0.23897
JNJ,0.80836,0.85518,0.73763,0.73281,0.59533,0.75688,0.72614,0.75077,0.74095,0.64137,0.699,0.75297,0.65448,0.23841,0.25906,0.23737,0.26516
JNPR,0.9324,0.69356,0.92815,0.89408,0.93307,0.80194,0.82351,0.77827,0.84081,0.77901,0.91283,0.95471,0.69931,0.23514,0.2277,0.23217,0.30498
J,0.70179,1.0,0.69713,0.70163,0.77022,0.82242,0.87571,0.85933,0.73856,0.74919,0.69788,1.0,0.77582,0.18787,0.19733,0.18641,0.27455
KDP,0.65782,0.751,0.72134,0.70829,0.71845,0.81968,0.68071,0.6641,0.67695,0.87395,0.94324,0.85156,0.77459,0.2389,0.20288,0.22054,0.33768
KEYS,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
KEY,1.0,1.0,0.90842,0.92521,0.90297,0.94477,0.65575,0.74981,0.79263,1.0,0.86524,1.0,1.0,0.16582,0.17859,0.15184,0.11913
KHC,0.8734,0.92554,0.86849,0.83846,0.90141,0.84212,0.97765,0.9708,0.95392,0.85125,0.94954,0.91822,0.81211,0.21347,0.2256,0.24752,0.3134
KIM,0.89409,1.0,0.83406,0.75062,0.80506,0.84609,0.89396,0.87804,0.91559,0.72671,0.80936,1.0,0.81332,0.19667,0.20602,0.2014,0.24207
KKR,0.84027,1.0,0.72634,0.66126,0.81135,0.80952,0.71509,0.88268,0.8117,0.95845,0.85651,1.0,0.84148,0.16847,0.16674,0.17184,0.33911
KLAC,0.86553,0.86964,0.7301,0.82536,0.8552,0.75099,0.78249,0.90234,0.86953,0.73104,0.80763,0.8654,0.77294,0.19354,0.21005,0.25084,0.34556
KMB,0.71256,0.65596,0.68457,0.69788,0.89994,0.71966,0.76802,0.87977,0.8564,0.67052,0.86916,0.64822,0.86068,0.24498,0.25963,0.22357,0.27182
KMI,0.86329,0.89601,0.93592,0.64129,0.95557,0.85098,0.87927,0.90508,0.93072,0.77185,0.81796,0.77685,0.7774,0.22948,0.22623,0.23125,0.31304
KMX,0.80277,0.87996,0.81111,0.87069,0.856,0.84926,0.80376,0.839,0.85938,0.91358,0.8566,0.69866,0.87239,0.26061,0.27493,0.20687,0.25758
KO,0.90568,0.83607,0.95447,0.8679,0.90691,0.92462,0.65203,0.87639,0.86632,0.72974,0.94654,0.69787,0.93606,0.23902,0.23817,0.22247,0.30033
KR,0.8378,0.7963,0.7892,0.76681,0.78403,0.76911,0.81171,0.83998,0.78927,0.83869,0.91264,0.64732,0.84357,0.26573,0.26961,0.24125,0.2234
KVUE,0.75,0.7848,0.7966,0.788,0.7174,0.768,0.771,0.735,0.7966,0.7518,0.8102,0.7398,0.7692,0.25004,0.22874,0.28392,0.23729
K,0.73758,0.76145,0.80714,0.83028,0.87062,0.85168,0.8973,0.89627,0.88991,0.78876,0.74739,0.73673,0.64112,0.21793,0.23693,0.2111,0.33404
LDOS,0.6346,0.79346,0.92251,0.6825,0.85364,0.84625,0.80079,0.71861,0.77814,0.80311,0.89383,0.74053,0.81064,0.23412,0.2513,0.27553,0.23904
